rune,spell
FWFEF,1
EFEEE,0
EFWFE,0
FEWWF,0
WFEFE,0
EWFEW,0
WWFFW,1
FEWFW,0
WEFEW,1
EFFFF,0
WFWWF,1
FEWFF,0
FFWFF,0
WEFEF,1
EFFWE,0
WWFEE,1
WEWWW,0
WWWWW,1
FEFWE,1
EFWFW,0
EEEFW,0
FFWWF,1
EEFWF,0
WEFWE,1
EFFWW,0
EWFFF,0
WFWWE,1
EFWEE,0
WWFFF,0
FWEWF,1
EFEFW,0
WEEEE,1
WEEEW,1
FEEEE,1
FWEEF,1
WWFFE,0
FEFEW,1
WFFEW,1
EWEEE,0
EWWEE,0
FWWEF,0
WFEWW,1
WFWFW,0
EFWWE,0
EEWWE,0
WWWEE,0
FEFEF,1
FFEFE,0
FFWFW,0
FEWFE,0
WFFEF,1
FFFFW,1
FEEFW,1
FWEEE,1
WWEWE,1
EWEEW,0
FWEWW,1
EWWWF,1
FWFWW,1
EEWEF,0
EEWFF,0
WFFFF,0
FFWEW,1
EEWEW,0
EEFFE,0
EEWFW,0
EEEWE,0
FFWWW,1
EFEFE,0
WFWEW,1
WWWFF,0
EWWWW,1
EEWFE,0
