rune,spell
WWWWF,1
FWEFW,1
FFEFF,0
EWFWE,1
EEEWF,0
EEFWE,0
FFEEF,1
FEFFW,1
EWWFF,0
WEEWF,1
WFWFF,0
FFFEE,1
FWWFW,0
FEWEE,0
EFFWF,0
WEFFW,1
WFFWE,1
WWFEF,1
WFWWW,1
WFEEF,1
EFEWF,0
WWEFW,1
EWWWE,1
WWWFW,0
WWFWE,1
EFWEF,0
EWWFE,0
EEEEF,0
FEFFE,0
WFEFF,0
WFFFE,0
FFEFW,1
WWWEW,0
WEEEF,1
WWFWW,1
EWFWW,1
EEFFF,0
WEFFE,0
EWFEE,0
WEEWE,1
WEWEE,0
EFEFF,0
EEEFE,0
EEFEF,0
EFFEE,0
WEEFE,0
FEWWW,0
WWWWE,1
FEFWW,1
WFFFW,1
FFFWF,1
FWEFE,0
FWFFF,0
WEWEW,0
EFFFW,0
EFEWW,0
WWEEE,1
EWEWW,1
WWWFE,0
FFWEF,1
FEEWW,1
FWFEW,1
EWFFE,0
WFWEE,1
WWEEW,1
FWWFF,0
WEFWF,1
WEWWF,0
WEFFF,0
EEWWW,0
EEEWW,0
WWEEF,1
EWWEF,0
FWFWE,1
FEFWF,1
FFEWF,1
FFFEW,1
FFFFF,0
WFWFE,0
EEFEW,0
EFWFF,0
FFEEE,1
FEEWF,1
FEWEW,0
WWFEW,1
FFFEF,1
FEFFF,0
WEEFW,1
WFEEW,1
FWFEE,1
EFFEF,0
FFEEW,1
FEEFE,0
WWEFE,0
FEEWE,1
FFWWE,1
WEWFW,0
EFEEF,0
FFFWW,1
EEWWF,0
FWEWE,1
FFFFE,0
EFWEW,0
WWFWF,1
EWEEF,0
EWEFE,0
WEWEF,0
EWWEW,0
FWWEE,0
EFFFE,0
FWEFF,0
EEFFW,0
EWEFW,0
EWFWF,1
FWWWW,1
FEEEF,1
FEWEF,0
EFEWE,0
EEFEE,0
EEEFF,0
FFEWW,1
FEEEW,1
WWEWW,1
WWEFF,0
WFFWW,1
FWWWF,1
EEEEE,0
FWEEW,1
WFFEE,1
EWEWE,1
WEFEE,1
WFWEF,1
EWEFF,0
EWWFW,0
WFEEE,1
WFEFW,1
FFFWE,1
WFFWF,1
WEEWW,1
FWFWF,1
EEWEE,0
WWEWF,1
EEFWW,0
WEWWE,0
WEWFE,0
WEEFF,0
FWWFE,0
EEEEW,0
WFEWF,1
FFEWE,1
FFWFE,0
WEFWW,1
EFWWW,0
EFEEW,0
WEWFF,0
FWFFW,1
FEWWE,0
FFWEE,1
EWFEF,0
EFWWF,0
FEEFF,0
FWFFE,0
WWWEF,0
FEFEE,1
EWEWF,1
FWWWE,1
EFFEW,0
EWFFW,0
FWWEW,0
WFEWE,1
